time,original,adjusted
1995-01-1,339285,341252.518550903
1995-02-1,350423,349447.698486604
1995-03-1,361645,359139.955221071
1995-04-1,367018,368288.952637908
1996-01-1,377212,379742.57401622
1996-02-1,384654,383426.683057613
1996-03-1,392457,389822.034764802
1996-04-1,393361,394343.018278251
1997-01-1,401517,404821.466580711
1997-02-1,410730,409105.163253487
1997-03-1,414183,411739.098030624
1997-04-1,410483,410635.937926287
1998-01-1,400167,404272.42547913
1998-02-1,409583,407631.358720725
1998-03-1,410745,408902.471589137
1998-04-1,408123,407130.461795681
1999-01-1,402059,407011.958753478
1999-02-1,406908,404703.219077658
1999-03-1,402698,401557.357244202
1999-04-1,409177,407127.743595278
2000-01-1,393835,399054.539191118
2000-02-1,415538,413308.432372762
2000-03-1,419176,418612.488931762
2000-04-1,425969,423051.903954892
2001-01-1,407304,412724.431471752
2001-02-1,410872,408771.088996117
2001-03-1,405591,405610.933056674
2001-04-1,410343,406969.544219279
2002-01-1,407926,413218.840599585
2002-02-1,418599,416628.29054192
2002-03-1,421439,421784.63066142
2002-04-1,431875,428079.091153185
2003-01-1,430505,435949.964997442
2003-02-1,439949,437960.484411939
2003-03-1,450615,451121.857769881
2003-04-1,465685,461561.917438419
2004-01-1,469633,475347.195186447
2004-02-1,496768,494765.315823448
2004-03-1,504799,505296.193801221
2004-04-1,526913,522247.840006199
2005-01-1,523742,529888.011979105
2005-02-1,542597,540768.010187247
2005-03-1,550757,551445.724744421
2005-04-1,565083,559616.337203381
2006-01-1,568713,575089.725147379
2006-02-1,589613,588428.555486548
2006-03-1,596429,597131.699720483
2006-04-1,606716,600541.27128298
2007-01-1,605558,611711.925090444
2007-02-1,624616,624486.890953654
2007-03-1,632528,632833.009824847
2007-04-1,651261,644781.841617991
2008-01-1,648339,654253.772157537
2008-02-1,678956,679653.749202261
2008-03-1,728509,728134.688002231
2008-04-1,803751,796589.518517729
2009-01-1,842948,850080.982694162
2009-02-1,891548,892588.718434512
2009-03-1,950696,949389.602625298
2009-04-1,1004421,996984.066071323
2010-01-1,1097739,1106819.52564614
2010-02-1,1135617,1135735.57122993
2010-03-1,1192709,1190478.78386036
2010-04-1,1212240,1205656.89786522
2011-01-1,1230694,1240605.0274454
2011-02-1,1290989,1289162.12580501
2011-03-1,1315159,1312540.63743385
2011-04-1,1345482,1340421.0239848
2012-01-1,1365515,1376601.40620829
2012-02-1,1414579,1409786.59978107
2012-03-1,1446086,1444689.75835473
2012-04-1,1477009,1472112.2030507
2013-01-1,1479635,1491644.2815551
2013-02-1,1516140,1509211.80007431
2013-03-1,1524295,1525180.16954377
2014-04-1,1550851,1544424.02895777
2014-01-1,1575283,1587869.69767387
2014-02-1,1607818,1600242.54634842
2014-03-1,1613948,1617204.85565186
2015-04-1,1657165,1647903.6408337
2015-01-1,1654988,1667942.19455175
2015-02-1,1695560,1688975.19337536
2015-03-1,1694410,1698697.57436108
2016-04-1,1720391,1708468.24003662
2016-01-1,1702205,1715657.28776807
2016-02-1,1741555,1736619.80055388
2016-03-1,1743759,1748010.17085482
2017-04-1,1781342,1767173.72779801
2017-01-1,1767181,1781534.62968002
2017-02-1,1783163,1779918.69307941
2017-03-1,1794044,1797547.79041848
2017-04-1,1834824,1819206.32569377
2018-01-1,1816075,1830942.30054193
2018-02-1,1856286,1854594.69793572
2018-03-1,1872032,1874617.81682677
